zeta,Hrms,Hs,L0,Lp,tanbeta,D50 mm
0.583515,2.49619,3.530145752,84.07508012,93.07699418,0.06,0.22
0.58635,1.13851,1.610096283,202.2515834,223.906649,0.06,0.22
0.598431,1.3516,1.911451051,200.7814459,222.2791039,0.06,0.22
0.604545,2.42314,3.426837452,280.9977286,311.0841394,0.06,0.22
0.615889,2.98935,4.227579313,66.34865067,73.45259694,0.06,0.22
0.632113,1.21766,1.722031286,211.9668079,234.662082,0.06,0.22
0.657325,3.014155,4.26265888,132.1570132,146.3070572,0.06,0.22
0.665707,1.12633,1.592871162,496.7942734,549.9860081,0.06,0.22
0.678722,2.89193,4.089806627,101.1053104,111.9306503,0.06,0.22
0.680019,2.27093,3.211580005,218.4312084,241.8186255,0.06,0.22
0.683444,2.63014,3.719579659,109.812872,121.5705299,0.06,0.22
0.686584,1.12633,1.592871162,281.5021527,311.6425723,0.06,0.22
0.688014,2.4414,3.452660991,140.7427078,155.8120216,0.06,0.22
0.69332,1.89954,2.68635523,148.3959024,164.2846432,0.06,0.22
0.706889,1.4003,1.980323251,336.3306312,372.3415328,0.06,0.22
0.715659,1.19939,1.696193605,398.528226,441.1986206,0.06,0.22
0.717089,2.51446,3.555983434,105.1559239,116.4149627,0.06,0.22
0.725643,2.41705,3.418224891,139.0184574,153.9031558,0.06,0.22
0.72903,2.79452,3.952048084,136.7419856,151.3829422,0.06,0.22
0.734896,1.98478,2.806902794,378.8938467,419.4619893,0.06,0.22
0.74073,3.19026,4.511708959,145.9365568,161.5619757,0.06,0.22
0.745528,2.89193,4.089806627,109.5748242,121.3069944,0.06,0.22
0.759821,2.04566,2.893000116,162.4343751,179.8262144,0.06,0.22
0.760431,1.75342,2.479710345,212.4186565,235.16231,0.06,0.22
0.774565,2.98326,4.218966752,169.2130523,187.3306842,0.06,0.22
0.779363,2.68493,3.79706442,211.0605439,233.6587843,0.06,0.22
0.791788,2.73364,3.865950763,195.4311851,216.3559911,0.06,0.22
0.800405,2.60578,3.685129417,234.0821198,259.1452791,0.06,0.22
0.821206,2.64231,3.736790638,180.7648058,200.1192833,0.06,0.22
0.825254,2.7032,3.822902102,83.62022939,92.57344261,0.06,0.22
0.826589,2.06393,2.918837798,122.2924827,135.3863319,0.06,0.22
0.850129,2.78843,3.943435524,194.9261531,215.7968853,0.06,0.22
0.860119,2.00304,2.832726334,307.4471268,340.3654732,0.06,0.22
0.862845,2.69711,3.814289541,190.442102,210.832727,0.06,0.22
0.863176,2.53881,3.590419534,142.3408203,157.5812439,0.06,0.22
0.865438,1.4551,2.057822155,161.2016633,178.4615162,0.06,0.22
0.86908,1.71081,2.419450705,127.1141215,140.7242233,0.06,0.22
0.893941,1.80213,2.548596687,165.3392566,183.0421215,0.06,0.22
0.912619,2.8554,4.038145406,181.7421812,201.2013062,0.06,0.22
0.917023,2.74581,3.883161742,202.0036826,223.6322054,0.06,0.22
0.938231,2.58752,3.659305877,175.6227118,194.4266256,0.06,0.22
0.944974,1.35769,1.920063611,344.9706331,381.9066193,0.06,0.22
0.950947,2.49619,3.530145752,224.4761729,248.510824,0.06,0.22
0.959908,2.20396,3.116870123,170.1919194,188.4143586,0.06,0.22
0.963969,2.25875,3.194354884,181.0046955,200.384858,0.06,0.22
0.971176,2.8067,3.969273206,171.8931268,190.2977142,0.06,0.22
0.991036,3.29376,4.658080063,146.4746791,162.1577147,0.06,0.22
0.999603,3.19026,4.511708959,231.9007479,256.7303479,0.06,0.22
1.00771,1.30898,1.851177269,512.467723,567.337613,0.06,0.22
1.00856,2.89802,4.098419188,109.58548,121.3187911,0.06,0.22
1.01014,2.14307,3.030758659,97.99463801,108.4869183,0.06,0.22
1.02004,1.4003,1.980323251,282.5394176,312.790897,0.06,0.22
1.02235,2.29528,3.246016105,232.4210593,257.3063689,0.06,0.22
