literature,R2%,setup,Stt,Sinc,Sig,Hs(80m or offshore),Tp,tan,D50,dataset,Hs0,L0
Stockdon et al. 2006,0.626,0.277,0.509,0.24,0.449,0.728,10,0.038,0.2,Scripps89,0.728,156.0776823
Stockdon et al. 2006,0.626,0.275,0.503,0.236,0.445,0.728,10,0.038,0.2,Scripps89,0.728,156.0776823
Stockdon et al. 2006,0.572,0.273,0.448,0.247,0.375,0.746,10,0.038,0.2,Scripps89,0.746,156.0776823
Stockdon et al. 2006,0.572,0.273,0.449,0.272,0.357,0.746,10,0.038,0.2,Scripps89,0.746,156.0776823
Stockdon et al. 2006,0.695,0.289,0.554,0.327,0.447,0.758,10,0.038,0.2,Scripps89,0.758,156.0776823
Stockdon et al. 2006,0.696,0.292,0.551,0.318,0.45,0.764,10,0.038,0.2,Scripps89,0.764,156.0776823
Stockdon et al. 2006,0.695,0.303,0.565,0.262,0.501,0.776,10,0.041,0.2,Scripps89,0.776,156.0776823
Stockdon et al. 2006,0.695,0.306,0.573,0.255,0.513,0.776,10,0.041,0.2,Scripps89,0.776,156.0776823
Stockdon et al. 2006,0.761,0.331,0.599,0.352,0.485,0.795,10,0.041,0.2,Scripps89,0.795,156.0776823
Stockdon et al. 2006,0.556,0.147,0.615,0.186,0.587,0.84,10,0.039,0.2,Scripps89,0.84,156.0776823
Stockdon et al. 2006,0.584,0.168,0.718,0.204,0.688,0.838,10,0.043,0.2,Scripps89,0.838,156.0776823
Stockdon et al. 2006,0.57,0.178,0.675,0.239,0.631,0.836,10,0.046,0.2,Scripps89,0.836,156.0776823
Stockdon et al. 2006,0.556,0.186,0.65,0.288,0.582,0.834,10,0.045,0.2,Scripps89,0.834,156.0776823
Stockdon et al. 2006,0.645,0.24,0.558,0.194,0.523,0.83,10,0.041,0.2,Scripps89,0.83,156.0776823
Stockdon et al. 2006,0.697,0.251,0.556,0.227,0.508,0.828,10,0.041,0.2,Scripps89,0.828,156.0776823
Stockdon et al. 2006,0.357,0.143,0.336,0.101,0.32,0.816,10,0.029,0.2,Scripps89,0.816,156.0776823
Stockdon et al. 2006,0.422,0.158,0.424,0.143,0.399,0.808,10,0.035,0.2,Scripps89,0.808,156.0776823
Stockdon et al. 2006,0.44,0.16,0.521,0.246,0.46,0.784,10,0.032,0.2,Scripps89,0.784,156.0776823
Stockdon et al. 2006,0.47,0.159,0.465,0.147,0.441,0.781,10,0.032,0.2,Scripps89,0.781,156.0776823
Stockdon et al. 2006,0.494,0.168,0.414,0.127,0.395,0.778,10,0.029,0.2,Scripps89,0.778,156.0776823
Stockdon et al. 2006,0.279,0.06,0.361,0.154,0.326,0.558,10,0.032,0.2,Scripps89,0.558,156.0776823
Stockdon et al. 2006,0.298,0.064,0.329,0.128,0.304,0.552,10,0.032,0.2,Scripps89,0.552,156.0776823
Stockdon et al. 2006,0.301,0.06,0.367,0.177,0.321,0.547,10,0.032,0.2,Scripps89,0.547,156.0776823
Stockdon et al. 2006,0.341,0.084,0.45,0.198,0.404,0.546,10,0.034,0.2,Scripps89,0.546,156.0776823
Stockdon et al. 2006,0.322,0.085,0.401,0.221,0.335,0.546,10,0.034,0.2,Scripps89,0.546,156.0776823
Stockdon et al. 2006,0.324,0.071,0.441,0.225,0.381,0.545,10,0.035,0.2,Scripps89,0.545,156.0776823
Stockdon et al. 2006,0.341,0.081,0.46,0.267,0.374,0.545,10,0.03,0.2,Scripps89,0.545,156.0776823
Stockdon et al. 2006,0.308,0.09,0.395,0.172,0.356,0.544,10,0.028,0.2,Scripps89,0.544,156.0776823
Stockdon et al. 2006,0.307,0.085,0.407,0.173,0.368,0.544,10,0.025,0.2,Scripps89,0.544,156.0776823
Stockdon et al. 2006,0.338,0.08,0.371,0.233,0.289,0.544,10,0.027,0.2,Scripps89,0.544,156.0776823
Stockdon et al. 2006,0.422,0.076,0.489,0.236,0.428,0.543,10,0.031,0.2,Scripps89,0.543,156.0776823
Stockdon et al. 2006,0.476,0.092,0.502,0.309,0.397,0.543,10,0.039,0.2,Scripps89,0.543,156.0776823
Stockdon et al. 2006,0.432,0.107,0.562,0.424,0.369,0.542,10,0.045,0.2,Scripps89,0.542,156.0776823
Stockdon et al. 2006,0.454,0.063,0.48,0.355,0.325,0.542,10,0.054,0.2,Scripps89,0.542,156.0776823
Stockdon et al. 2006,0.494,0.078,0.632,0.454,0.439,1.405,6.5,0.03,0.22,Terschelling94-1,1.405,65.94282076
Stockdon et al. 2006,1.001,0.413,0.821,0.564,0.596,3.067,7.7,0.032,0.22,Terschelling94-1,3.067,92.53845782
Stockdon et al. 2006,0.842,0.228,1.014,0.384,0.939,3.929,10.3,0.015,0.22,Terschelling94-1,3.929,165.5828131
Stockdon et al. 2006,1.216,0.509,0.879,0.333,0.813,3.588,10.6,0.016,0.22,Terschelling94-1,3.588,175.3688838
Stockdon et al. 2006,0.917,0.358,0.728,0.299,0.661,2.391,8.9,0.016,0.22,Terschelling94-1,2.391,123.6291321
Stockdon et al. 2006,0.508,0.045,0.741,0.342,0.658,2.622,8.4,0.02,0.22,Terschelling94-1,2.622,110.1284126
Stockdon et al. 2006,0.515,0.093,0.616,0.252,0.564,1.166,10.4,0.013,0.22,Terschelling94-2,1.166,168.8136211
Stockdon et al. 2006,0.471,0.088,0.53,0.224,0.482,1.07,9.9,0.014,0.22,Terschelling94-2,1.07,152.9717364
Stockdon et al. 2006,0.431,0.104,0.526,0.208,0.484,1.969,8.2,0.009,0.22,Terschelling94-2,1.969,104.9466336
Stockdon et al. 2006,0.492,0.03,0.664,0.308,0.588,0.961,10,0.017,0.22,Terschelling94-2,0.961,156.0776823
Stockdon et al. 2006,0.137,0.017,0.212,0.155,0.145,0.511,4.8,0.014,0.22,Terschelling94-2,0.511,35.96029799
Stockdon et al. 2006,0.231,0.006,0.339,0.26,0.217,0.514,5,0.013,0.22,Terschelling94-2,0.514,39.01942057
Stockdon et al. 2006,0.241,0.042,0.262,0.148,0.217,1.07,6.1,0.011,0.22,Terschelling94-2,1.07,58.07650557
Stockdon et al. 2006,0.423,0,0.614,0.33,0.524,1.416,8.7,0.011,0.22,Terschelling94-3,1.416,118.1351977
Senechal et al. 2011,NaN,NaN,1.61,0.64,1.44,2.22,16.3,0.056,0.35,"Truc Vert beach, France",2.5,414.682794
Senechal et al. 2011,NaN,NaN,1.83,0.76,1.64,2.4,16.4,0.057,0.35,"Truc Vert beach, France",2.7,419.7865342
Senechal et al. 2011,NaN,NaN,1.68,0.81,1.42,2.4,16.4,0.059,0.35,"Truc Vert beach, France",2.7,419.7865342
Senechal et al. 2011,NaN,NaN,1.86,0.87,1.63,2.47,15.3,0.061,0.35,"Truc Vert beach, France",2.7,365.3622464
Senechal et al. 2011,NaN,NaN,2,0.9,1.74,2.47,15.3,0.061,0.35,"Truc Vert beach, France",2.7,365.3622464
Senechal et al. 2011,NaN,NaN,1.83,0.76,1.6,2.55,14.3,0.061,0.35,"Truc Vert beach, France",2.7,319.1632525
Senechal et al. 2011,NaN,NaN,1.69,0.75,1.49,2.55,14.3,0.061,0.35,"Truc Vert beach, France",2.7,319.1632525
Senechal et al. 2011,NaN,NaN,1.84,0.74,1.65,2.46,15.5,0.061,0.35,"Truc Vert beach, France",2.7,374.9766316
Senechal et al. 2011,NaN,NaN,1.82,0.76,1.64,2.46,15.5,0.059,0.35,"Truc Vert beach, France",2.7,374.9766316
Senechal et al. 2011,NaN,NaN,2.03,0.8,1.83,2.55,14.3,0.057,0.35,"Truc Vert beach, France",2.7,319.1632525
Senechal et al. 2011,NaN,NaN,1.41,0.74,1.17,3.23,13.3,0.06,0.35,"Truc Vert beach, France",3.3,276.0858122
Senechal et al. 2011,NaN,NaN,1.43,0.64,1.26,2.94,14.2,0.065,0.35,"Truc Vert beach, France",3.1,314.7150385
Senechal et al. 2011,NaN,NaN,1.44,0.72,1.23,2.94,14.2,0.066,0.35,"Truc Vert beach, France",3.1,314.7150385
Senechal et al. 2011,NaN,NaN,1.5,0.73,1.29,3.05,14,0.07,0.35,"Truc Vert beach, France",3.2,305.9122572
Senechal et al. 2011,NaN,NaN,1.7,0.62,1.57,3.05,14,0.068,0.35,"Truc Vert beach, France",3.2,305.9122572
Senechal et al. 2011,NaN,NaN,1.48,0.68,1.29,3.14,14.1,0.072,0.35,"Truc Vert beach, France",3.3,310.2980401
Senechal et al. 2011,NaN,NaN,1.48,0.79,1.23,3.14,14.1,0.072,0.35,"Truc Vert beach, France",3.3,310.2980401
Senechal et al. 2011,NaN,NaN,1.43,0.56,1.27,3.22,14.2,0.068,0.35,"Truc Vert beach, France",3.4,314.7150385
Senechal et al. 2011,NaN,NaN,1.71,0.55,1.6,3.22,14.2,0.068,0.35,"Truc Vert beach, France",3.4,314.7150385
Senechal et al. 2011,NaN,NaN,1.59,0.55,1.47,3.14,14.1,0.066,0.35,"Truc Vert beach, France",3.3,310.2980401
Senechal et al. 2011,NaN,NaN,1.95,0.89,1.72,6.04,14.3,0.075,0.35,"Truc Vert beach, France",6.4,319.1632525
Senechal et al. 2011,NaN,NaN,2.17,0.91,1.96,6.04,14.3,0.081,0.35,"Truc Vert beach, France",6.4,319.1632525
Senechal et al. 2011,NaN,NaN,2.37,1.16,2.03,5.84,14.4,0.081,0.35,"Truc Vert beach, France",6.2,323.6426819
Senechal et al. 2011,NaN,NaN,2.21,0.54,2.12,3.74,15.4,0.06,0.35,"Truc Vert beach, France",4.1,370.1538313
Senechal et al. 2011,NaN,NaN,2.24,0.7,2.1,4.01,15.4,0.062,0.35,"Truc Vert beach, France",4.4,370.1538313
Senechal et al. 2011,NaN,NaN,1.83,0.5,1.74,1.89,14.3,0.059,0.35,"Truc Vert beach, France",2,319.1632525
Senechal et al. 2011,NaN,NaN,1.62,0.4,1.52,1.89,14.3,0.059,0.35,"Truc Vert beach, France",2,319.1632525
Senechal et al. 2011,NaN,NaN,1.58,0.44,1.51,2.15,13.3,0.06,0.35,"Truc Vert beach, France",2.2,276.0858122
Senechal et al. 2011,NaN,NaN,1.66,0.58,1.54,2.15,13.3,0.06,0.35,"Truc Vert beach, France",2.2,276.0858122
Senechal et al. 2011,NaN,NaN,1.56,0.74,1.36,2.15,13.3,0.061,0.35,"Truc Vert beach, France",2.2,276.0858122
Senechal et al. 2011,NaN,NaN,1.55,0.6,1.42,2.15,13.3,0.061,0.35,"Truc Vert beach, France",2.2,276.0858122
Senechal et al. 2011,NaN,NaN,1.48,0.44,1.39,1.96,13.3,0.061,0.35,"Truc Vert beach, France",2,276.0858122
Senechal et al. 2011,NaN,NaN,1.54,0.58,1.42,1.96,13.3,0.06,0.35,"Truc Vert beach, France",2,276.0858122
Senechal et al. 2011,NaN,NaN,1.59,0.58,1.48,1.96,13.3,0.059,0.35,"Truc Vert beach, France",2,276.0858122
Senechal et al. 2011,NaN,NaN,1.57,0.55,1.45,1.96,13.3,0.057,0.35,"Truc Vert beach, France",2,276.0858122
Senechal et al. 2011,NaN,NaN,1.51,0.49,1.39,2.06,11.8,0.056,0.35,"Truc Vert beach, France",2,217.3225648
Senechal et al. 2011,NaN,NaN,0.97,0.52,0.8,1.24,11.8,0.048,0.35,"Truc Vert beach, France",1.2,217.3225648
Senechal et al. 2011,NaN,NaN,1.05,0.47,0.92,1.24,11.8,0.052,0.35,"Truc Vert beach, France",1.2,217.3225648
Senechal et al. 2011,NaN,NaN,1.09,0.49,0.95,1.13,11.9,0.054,0.35,"Truc Vert beach, France",1.1,221.0216059
Senechal et al. 2011,NaN,NaN,0.85,0.45,0.7,1.13,11.9,0.057,0.35,"Truc Vert beach, France",1.1,221.0216059
Senechal et al. 2011,NaN,NaN,1.11,0.49,0.97,1.11,12.4,0.057,0.35,"Truc Vert beach, France",1.1,239.9850443
Senechal et al. 2011,NaN,NaN,1.12,0.49,1,1.11,12.4,0.058,0.35,"Truc Vert beach, France",1.1,239.9850443
Senechal et al. 2011,NaN,NaN,1.03,0.48,0.89,1.26,11.2,0.058,0.35,"Truc Vert beach, France",1.2,195.7838446
Senechal et al. 2011,NaN,NaN,0.9,0.48,0.74,1.26,11.2,0.058,0.35,"Truc Vert beach, France",1.2,195.7838446
Senechal et al. 2011,NaN,NaN,0.93,0.49,0.78,1.24,11.8,0.059,0.35,"Truc Vert beach, France",1.2,217.3225648
Senechal et al. 2011,NaN,NaN,0.91,0.47,0.75,1.24,11.8,0.059,0.35,"Truc Vert beach, France",1.2,217.3225648
Senechal et al. 2011,NaN,NaN,1.03,0.51,0.88,1.34,11.8,0.058,0.35,"Truc Vert beach, France",1.3,217.3225648
Senechal et al. 2011,NaN,NaN,1.1,0.5,0.96,1.34,11.8,0.057,0.35,"Truc Vert beach, France",1.3,217.3225648
Senechal et al. 2011,NaN,NaN,1.06,0.48,0.92,1.31,12.5,0.057,0.35,"Truc Vert beach, France",1.3,243.8713785
Senechal et al. 2011,NaN,NaN,1.07,0.45,0.92,1.31,12.5,0.054,0.35,"Truc Vert beach, France",1.3,243.8713785
Senechal et al. 2011,NaN,NaN,0.87,0.5,0.69,1.34,11.8,0.051,0.35,"Truc Vert beach, France",1.3,217.3225648
Senechal et al. 2011,NaN,NaN,1.05,0.47,0.92,1.65,11.8,0.051,0.35,"Truc Vert beach, France",1.6,217.3225648
Senechal et al. 2011,NaN,NaN,1.52,0.4,1.44,2.22,16.3,0.049,0.35,"Truc Vert beach, France",2.5,414.682794
Senechal et al. 2011,NaN,NaN,1.72,0.37,1.66,2.4,16.4,0.05,0.35,"Truc Vert beach, France",2.7,419.7865342
Senechal et al. 2011,NaN,NaN,1.63,0.59,1.5,2.4,16.4,0.051,0.35,"Truc Vert beach, France",2.7,419.7865342
Senechal et al. 2011,NaN,NaN,1.77,0.61,1.64,2.47,15.3,0.051,0.35,"Truc Vert beach, France",2.7,365.3622464
Senechal et al. 2011,NaN,NaN,1.74,0.6,1.59,2.47,15.3,0.052,0.35,"Truc Vert beach, France",2.7,365.3622464
Senechal et al. 2011,NaN,NaN,1.61,0.63,1.44,2.55,14.3,0.052,0.35,"Truc Vert beach, France",2.7,319.1632525
Senechal et al. 2011,NaN,NaN,1.63,0.67,1.46,2.55,14.3,0.052,0.35,"Truc Vert beach, France",2.7,319.1632525
Senechal et al. 2011,NaN,NaN,2.06,0.6,1.94,2.46,15.5,0.05,0.35,"Truc Vert beach, France",2.7,374.9766316
Senechal et al. 2011,NaN,NaN,1.92,0.61,1.81,2.46,15.5,0.049,0.35,"Truc Vert beach, France",2.7,374.9766316
Senechal et al. 2011,NaN,NaN,1.93,0.77,1.74,2.55,14.3,0.046,0.35,"Truc Vert beach, France",2.7,319.1632525
Senechal et al. 2011,NaN,NaN,1.8,0.61,1.67,3.23,13.3,0.056,0.35,"Truc Vert beach, France",3.3,276.0858122
Senechal et al. 2011,NaN,NaN,1.69,0.55,1.58,2.94,14.2,0.061,0.35,"Truc Vert beach, France",3.1,314.7150385
Senechal et al. 2011,NaN,NaN,1.59,0.69,1.41,2.94,14.2,0.061,0.35,"Truc Vert beach, France",3.1,314.7150385
Senechal et al. 2011,NaN,NaN,2.18,0.61,2.08,4.94,15.3,0.063,0.35,"Truc Vert beach, France",5.4,365.3622464
Senechal et al. 2011,NaN,NaN,2.45,0.6,2.37,4.54,16.3,0.065,0.35,"Truc Vert beach, France",5.1,414.682794
Senechal et al. 2011,NaN,NaN,2.2,0.59,2.09,4.54,16.3,0.068,0.35,"Truc Vert beach, France",5.1,414.682794
Senechal et al. 2011,NaN,NaN,2.16,0.68,2.02,4.53,15.6,0.068,0.35,"Truc Vert beach, France",5,379.8306476
Senechal et al. 2011,NaN,NaN,2.5,0.87,2.31,4.53,15.6,0.069,0.35,"Truc Vert beach, France",5,379.8306476
Senechal et al. 2011,NaN,NaN,2.1,0.5,2.01,3.74,15.4,0.058,0.35,"Truc Vert beach, France",4.1,370.1538313
Senechal et al. 2011,NaN,NaN,1.88,0.65,1.74,4.01,15.4,0.059,0.35,"Truc Vert beach, France",4.4,370.1538313
Senechal et al. 2011,NaN,NaN,0.83,0.39,0.73,1.24,11.8,0.05,0.35,"Truc Vert beach, France",1.2,217.3225648
Senechal et al. 2011,NaN,NaN,0.95,0.46,0.82,1.24,11.8,0.053,0.35,"Truc Vert beach, France",1.2,217.3225648
Senechal et al. 2011,NaN,NaN,0.94,0.43,0.81,1.13,11.9,0.055,0.35,"Truc Vert beach, France",1.1,221.0216059
Senechal et al. 2011,NaN,NaN,0.81,0.48,0.63,1.13,11.9,0.057,0.35,"Truc Vert beach, France",1.1,221.0216059
Senechal et al. 2011,NaN,NaN,0.95,0.5,0.79,1.11,12.4,0.059,0.35,"Truc Vert beach, France",1.1,239.9850443
Senechal et al. 2011,NaN,NaN,0.93,0.47,0.78,1.11,12.4,0.061,0.35,"Truc Vert beach, France",1.1,239.9850443
Senechal et al. 2011,NaN,NaN,0.85,0.47,0.69,1.26,11.2,0.061,0.35,"Truc Vert beach, France",1.2,195.7838446
Senechal et al. 2011,NaN,NaN,0.83,0.46,0.67,1.26,11.2,0.061,0.35,"Truc Vert beach, France",1.2,195.7838446
Senechal et al. 2011,NaN,NaN,0.84,0.52,0.63,1.24,11.8,0.062,0.35,"Truc Vert beach, France",1.2,217.3225648
Senechal et al. 2011,NaN,NaN,0.81,0.48,0.64,1.24,11.8,0.062,0.35,"Truc Vert beach, France",1.2,217.3225648
Senechal et al. 2011,NaN,NaN,0.9,0.52,0.72,1.34,11.8,0.062,0.35,"Truc Vert beach, France",1.3,217.3225648
Senechal et al. 2011,NaN,NaN,0.98,0.46,0.84,1.34,11.8,0.059,0.35,"Truc Vert beach, France",1.3,217.3225648
Senechal et al. 2011,NaN,NaN,0.94,0.57,0.74,1.31,12.5,0.059,0.35,"Truc Vert beach, France",1.3,243.8713785
Senechal et al. 2011,NaN,NaN,0.87,0.46,0.71,1.31,12.5,0.055,0.35,"Truc Vert beach, France",1.3,243.8713785
Senechal et al. 2011,NaN,NaN,0.94,0.53,0.75,1.34,11.8,0.053,0.35,"Truc Vert beach, France",1.3,217.3225648
Senechal et al. 2011,NaN,NaN,1.02,0.5,0.84,1.65,11.8,0.053,0.35,"Truc Vert beach, France",1.6,217.3225648
Guedes et al. 2011,NaN,NaN,1.45,1.1,0.95,0.8,11.91,0.1,0.427,Tairua beach,0.827239476,221.3932268
Guedes et al. 2011,NaN,NaN,1.46,1.13,0.93,0.85,10.04,0.1,0.427,Tairua beach,0.857498928,157.328801
Guedes et al. 2011,NaN,NaN,1.41,0.96,1.04,0.67,12.19,0.12,0.427,Tairua beach,0.695992687,231.9253488
Guedes et al. 2011,NaN,NaN,1.95,1.69,0.98,0.79,11.91,0.13,0.427,Tairua beach,0.816898982,221.3932268
Guedes et al. 2011,NaN,NaN,2.2,2.08,0.73,0.85,11.91,0.1,0.427,Tairua beach,0.878941943,221.3932268
Guedes et al. 2011,NaN,NaN,2.16,2.06,0.65,0.77,11.64,0.09,0.427,Tairua beach,0.792788327,211.4690274
Guedes et al. 2011,NaN,NaN,2.1,2.01,0.62,0.84,11.38,0.09,0.427,Tairua beach,0.861403304,202.127466
Guedes et al. 2011,NaN,NaN,1.46,1.27,0.72,0.76,12.48,0.12,0.427,Tairua beach,0.793266145,243.0916144
Guedes et al. 2011,NaN,NaN,1.36,1.09,0.82,0.88,10.67,0.1,0.427,Tairua beach,0.893676571,177.6927244
Guedes et al. 2011,NaN,NaN,1.34,1.08,0.78,0.83,10.67,0.1,0.427,Tairua beach,0.842899493,177.6927244
Guedes et al. 2011,NaN,NaN,1.32,1.11,0.72,0.85,11.91,0.1,0.427,Tairua beach,0.878941943,221.3932268
Guedes et al. 2011,NaN,NaN,1.39,1.13,0.81,0.88,10.89,0.1,0.427,Tairua beach,0.896175721,185.095801
Guedes et al. 2011,NaN,NaN,1.63,1.37,0.89,0.69,12.19,0.1,0.427,Tairua beach,0.716768588,231.9253488
Guedes et al. 2011,NaN,NaN,1.82,1.61,0.84,0.9,11.13,0.12,0.427,Tairua beach,0.919562812,193.3441944
Guedes et al. 2011,NaN,NaN,1.95,1.81,0.72,0.86,11.13,0.13,0.427,Tairua beach,0.878693354,193.3441944
Guedes et al. 2011,NaN,NaN,2.05,1.95,0.64,0.83,11.64,0.1,0.427,Tairua beach,0.854564041,211.4690274
Guedes et al. 2011,NaN,NaN,2.03,1.94,0.62,0.84,11.38,0.09,0.427,Tairua beach,0.861403304,202.127466
Guedes et al. 2011,NaN,NaN,1.64,1.47,0.73,0.84,10.9,0.13,0.427,Tairua beach,0.855553557,185.4358943
Guedes et al. 2011,NaN,NaN,1.3,1.11,0.68,0.78,12.19,0.12,0.427,Tairua beach,0.810260143,231.9253488
Guedes et al. 2011,NaN,NaN,1.23,1,0.72,0.73,10.89,0.1,0.427,Tairua beach,0.743418496,185.095801
Guedes et al. 2011,NaN,NaN,1.24,1.02,0.7,0.69,10.67,0.1,0.427,Tairua beach,0.700723675,177.6927244
Guedes et al. 2011,NaN,NaN,1.29,1.09,0.69,0.81,11.38,0.1,0.427,Tairua beach,0.8306389,202.127466
Guedes et al. 2011,NaN,NaN,1.32,1.1,0.74,0.83,11.64,0.1,0.427,Tairua beach,0.854564041,211.4690274
Guedes et al. 2011,NaN,NaN,1.56,1.33,0.82,0.98,11.13,0.11,0.427,Tairua beach,1.001301729,193.3441944
Guedes et al. 2011,NaN,NaN,1.68,1.53,0.68,0.88,9.85,0.13,0.427,Tairua beach,0.886362042,151.4304693
Guedes et al. 2013,NaN,NaN,0.39,0.05,0.39,1.17,12.4,0.01,0.4,Ngarunui beaches,1.219604053,239.9850443
Guedes et al. 2013,NaN,NaN,0.52,0.07,0.52,1.13,12.4,0.02,0.4,Ngarunui beaches,1.177908188,239.9850443
Guedes et al. 2013,NaN,NaN,0.54,0.08,0.53,1.09,12.4,0.02,0.4,Ngarunui beaches,1.136212323,239.9850443
Guedes et al. 2013,NaN,NaN,0.68,0.11,0.67,1.11,11.85,0.02,0.4,Ngarunui beaches,1.146681991,219.1681834
Guedes et al. 2013,NaN,NaN,0.69,0.12,0.68,1.14,11.3,0.03,0.4,Ngarunui beaches,1.16765308,199.2955925
Guedes et al. 2013,NaN,NaN,0.71,0.16,0.69,1.2,11.3,0.03,0.4,Ngarunui beaches,1.229108505,199.2955925
Guedes et al. 2013,NaN,NaN,0.9,0.16,0.89,1.27,11.3,0.03,0.4,Ngarunui beaches,1.300806502,199.2955925
Guedes et al. 2013,NaN,NaN,0.82,0.17,0.8,1.2,11.55,0.03,0.4,Ngarunui beaches,1.233778186,208.2115301
Guedes et al. 2013,NaN,NaN,0.81,0.16,0.8,1.12,11.8,0.03,0.4,Ngarunui beaches,1.156082457,217.3225648
Guedes et al. 2013,NaN,NaN,0.78,0.15,0.77,1.12,12.1,0.03,0.4,Ngarunui beaches,1.161731062,228.5133346
Guedes et al. 2013,NaN,NaN,0.69,0.09,0.69,1.11,12.4,0.02,0.4,Ngarunui beaches,1.157060255,239.9850443
Guedes et al. 2013,NaN,NaN,0.5,0.08,0.49,1.08,11.85,0.02,0.4,Ngarunui beaches,1.115690585,219.1681834
Guedes et al. 2013,NaN,NaN,0.52,0.06,0.51,1.04,11.3,0.02,0.4,Ngarunui beaches,1.065227371,199.2955925
Guedes et al. 2013,NaN,NaN,0.38,0.04,0.38,1.11,11.55,0.01,0.4,Ngarunui beaches,1.141244822,208.2115301
Guedes et al. 2013,NaN,NaN,0.3,0.04,0.3,1.17,11.8,0.01,0.4,Ngarunui beaches,1.207693281,217.3225648
Guedes et al. 2013,NaN,NaN,0.34,0.04,0.34,1.07,12.1,0.01,0.4,Ngarunui beaches,1.109868068,228.5133346
Guedes et al. 2013,NaN,NaN,0.24,0.04,0.24,0.96,10.8,0.01,0.4,Ngarunui beaches,0.976503429,182.0490086
Guedes et al. 2013,NaN,NaN,0.24,0.04,0.24,1,10.8,0.01,0.4,Ngarunui beaches,1.017191072,182.0490086
Guedes et al. 2013,NaN,NaN,0.3,0.04,0.29,1.04,10.8,0.01,0.4,Ngarunui beaches,1.057878715,182.0490086
Guedes et al. 2013,NaN,NaN,0.45,0.05,0.44,0.9,11.3,0.02,0.4,Ngarunui beaches,0.921831379,199.2955925
Guedes et al. 2013,NaN,NaN,0.5,0.09,0.5,0.77,11.8,0.02,0.4,Ngarunui beaches,0.794806689,217.3225648
Guedes et al. 2013,NaN,NaN,0.53,0.12,0.51,0.81,11.3,0.02,0.4,Ngarunui beaches,0.829648241,199.2955925
Guedes et al. 2013,NaN,NaN,0.57,0.17,0.54,0.84,10.8,0.02,0.4,Ngarunui beaches,0.854440501,182.0490086
Guedes et al. 2013,NaN,NaN,0.58,0.18,0.55,0.82,10.4,0.03,0.4,Ngarunui beaches,0.830164303,168.8136211
Guedes et al. 2013,NaN,NaN,0.5,0.14,0.48,0.8,10,0.03,0.4,Ngarunui beaches,0.806776117,156.0776823
Guedes et al. 2013,NaN,NaN,0.52,0.14,0.51,0.8,10.65,0.03,0.4,Ngarunui beaches,0.812236288,177.0272092
Guedes et al. 2013,NaN,NaN,0.49,0.13,0.47,0.8,11.3,0.03,0.4,Ngarunui beaches,0.81940567,199.2955925
Guedes et al. 2013,NaN,NaN,0.5,0.1,0.49,0.8,11.3,0.02,0.4,Ngarunui beaches,0.81940567,199.2955925
Guedes et al. 2013,NaN,NaN,0.46,0.08,0.45,0.8,11.3,0.02,0.4,Ngarunui beaches,0.81940567,199.2955925
Guedes et al. 2013,NaN,NaN,0.39,0.07,0.39,0.77,9.7,0.02,0.4,Ngarunui beaches,0.774707606,146.8534912
Guedes et al. 2013,NaN,NaN,0.39,0.06,0.39,0.69,8.1,0.01,0.4,Ngarunui beaches,0.690331166,102.4025673
Guedes et al. 2013,NaN,NaN,0.28,0.04,0.28,0.74,9.7,0.01,0.4,Ngarunui beaches,0.744524193,146.8534912
Gomes da Silva et al. 2018,0.711 ,0.071 ,0.998 ,0.924 ,0.364 ,0.298 ,12.800 ,0.097 ,0.280 ,"Somo beach, Spain",0.312675083,255.7176746
Gomes da Silva et al. 2018,0.744 ,0.094 ,0.995 ,0.925 ,0.360 ,0.315 ,11.378 ,0.101 ,0.280 ,"Somo beach, Spain",0.323016523,202.0485409
Gomes da Silva et al. 2018,0.683 ,0.082 ,1.034 ,0.976 ,0.330 ,0.321 ,11.378 ,0.101 ,0.280 ,"Somo beach, Spain",0.329169219,202.0485409
Gomes da Silva et al. 2018,0.746 ,0.128 ,0.940 ,0.894 ,0.276 ,0.312 ,12.047 ,0.100 ,0.280 ,"Somo beach, Spain",0.323344194,226.5180852
Gomes da Silva et al. 2018,0.703 ,0.132 ,1.038 ,0.979 ,0.329 ,0.271 ,11.378 ,0.101 ,0.280 ,"Somo beach, Spain",0.277896755,202.0485409
Gomes da Silva et al. 2018,0.759 ,0.137 ,0.876 ,0.814 ,0.312 ,0.299 ,12.800 ,0.102 ,0.280 ,"Somo beach, Spain",0.313724328,255.7176746
Gomes da Silva et al. 2018,0.893 ,0.165 ,1.054 ,0.988 ,0.361 ,0.321 ,11.378 ,0.098 ,0.280 ,"Somo beach, Spain",0.329169219,202.0485409
Gomes da Silva et al. 2018,0.820 ,0.189 ,0.971 ,0.877 ,0.407 ,0.273 ,12.047 ,0.099 ,0.280 ,"Somo beach, Spain",0.28292617,226.5180852
Gomes da Silva et al. 2018,0.827 ,0.201 ,1.048 ,0.998 ,0.309 ,0.465 ,4.551 ,0.099 ,0.280 ,"Somo beach, Spain",0.465,32.32776513
Gomes da Silva et al. 2018,0.802 ,0.187 ,0.957 ,0.892 ,0.338 ,0.316 ,11.378 ,0.101 ,0.280 ,"Somo beach, Spain",0.324041972,202.0485409
Gomes da Silva et al. 2018,0.758 ,0.146 ,0.938 ,0.845 ,0.397 ,0.310 ,12.047 ,0.102 ,0.280 ,"Somo beach, Spain",0.321271475,226.5180852
